Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Category,Sub_Category,Product_Name,Quantity,Sales,Discount,Profit
ORD103641,2025-02-11,CUST1041,Vikas Yadav,Mumbai,Tamil Nadu,West,Home & Kitchen,Cookware,Cookware Product 9,4.0,1950.62,0.15,453.24
ORD104692,2025-11-01,CUST2092,Anjali Mehta,Jaipur,West Bengal,East,Electronics,Accessories,Accessories Product 12,7.0,1770.49,0.4,78.21
ORD102303,2025-03-31,CUST2103,Neha Verma,Jaipur,West Bengal,North,Clothing,Men,,3.0,773.31,0.1,116.15
ORD104245,2024-11-26,CUST1645,Arjun Kumar,Bengaluru,West Bengal,North,Home & Kitchen,Decor,Decor Product 6,4.0,1927.25,0.4,-95.37
ORD101270,2025-01-30,CUST1070,Neha Verma,Kolkata,Rajasthan,North,Electronics,Accessories,Accessories Product 24,4.0,1373.86,0.0,143.82
ORD102388,2024-02-12,CUST2188,Rahul Singh,Agra,Gujarat,South,Electronics,Audio,Audio Product 21,7.0,1583.11,0.1,329.95
ORD100240,2024-07-19,CUST1240,Rahul Singh,Delhi,Karnataka,West,Home & Kitchen,Bedding,Bedding Product 29,4.0,647.75,0.1,26.69
ORD104254,2024-02-28,CUST1654,Arjun Kumar,Delhi,West Bengal,West,Electronics,Laptops,Laptops Product 27,3.0,2808.38,0.15,407.96
ORD104151,2024-07-09,CUST1551,,Agra,West Bengal,East,Clothing,Women,Women Product 27,5.0,705.8,0.2,14.5
ORD100239,2025-08-31,CUST1239,Pooja Singh,Bengaluru,Karnataka,West,Home & Kitchen,Cookware,Cookware Product 5,3.0,589.35,0.05,151.16
ORD101705,2024-03-15,CUST1505,Pooja Singh,Chennai,Maharashtra,West,Home & Kitchen,Decor,Decor Product 29,3.0,1077.44,0.1,184.13
ORD100065,2024-03-21,CUST1065,Rohit Agarwal,Jaipur,West Bengal,East,Furniture,Tables,Tables Product 28,5.0,259.79,0.0,67.09
ORD103938,2025-08-23,CUST1338,Neha Verma,Kolkata,Gujarat,West,Home & Kitchen,Decor,Decor Product 29,6.0,2027.21,0.15,162.62
ORD100497,2025-11-20,CUST1497,Rahul Singh,Ahmedabad,Rajasthan,South,Sports,Fitness,Fitness Product 25,5.0,664.89,0.15,28.39
ORD101921,2025-01-15,CUST1721,Neha Verma,Bengaluru,Gujarat,North,Electronics,Phones,Phones Product 7,1.0,5227.13,0.1,124.26
ORD100033,2024-02-28,CUST1033,Vikas Yadav,Agra,Gujarat,North,Home & Kitchen,Appliances,Appliances Product 28,5.0,2210.51,0.3,99.76
ORD102201,2025-10-23,CUST2001,Arjun Kumar,Ahmedabad,Uttar Pradesh,West,Furniture,Storage,Storage Product 7,2.0,,0.4,-87.1
ORD102643,2025-02-16,CUST1243,Pooja Singh,Agra,Delhi,North,Sports,Fitness,Fitness Product 12,7.0,2331.19,0.3,369.04
ORD101437,2024-08-10,CUST1237,Arjun Kumar,Mumbai,Tamil Nadu,West,Home & Kitchen,Cookware,Cookware Product 9,5.0,357.63,0.05,40.38
ORD103573,2024-09-16,CUST2173,Rahul Singh,mumbai,Rajasthan,South,Clothing,Women,Women Product 7,3.0,880.54,0.15,41.06
ORD100626,2024-05-11,CUST1626,Vikas Yadav,Mumbai,Gujarat,North,Home & Kitchen,Bedding,Bedding Product 4,6.0,717.96,0.05,96.72
ORD101200,2024-10-12,CUST1000,Neha Verma,Mumbai,Delhi,East,Sports,Cycling,Cycling Product 20,5.0,1191.63,0.0,287.19
ORD102531,2025-10-12,CUST1131,Arjun Kumar,Bengaluru,Rajasthan,East,Electronics,Laptops,Laptops Product 8,5.0,1699.67,0.0,502.15
ORD100742,2025-12-09,CUST1742,Rohit Agarwal,Delhi,Uttar Pradesh,North,Sports,Outdoor,Outdoor Product 21,2.0,606.71,0.05,36.55
ORD100831,2024-02-20,CUST1831,Anjali Mehta,Chennai,Gujarat,West,Furniture,Storage,Storage Product 24,7.0,7005.11,0.1,1570.33
ORD102395,2025-05-31,CUST2195,Rahul Singh,Agra,Tamil Nadu,North,Sports,Cycling,Cycling Product 18,1.0,2336.16,0.1,440.02
ORD102617,2024-12-10,CUST1217,Sneha Joshi,Chennai,Delhi,West,Clothing,Kids,Kids Product 20,1.0,348.06,0.2,79.02
ORD103857,2025-03-16,CUST1257,Pooja Singh,Mumbai,Rajasthan,West,Electronics,Laptops,Laptops Product 15,7.0,,0.05,203.11
ORD103047,2025-03-29,CUST1647,Aman Sharma,Ahmedabad,Karnataka,North,Furniture,Beds,Beds Product 14,2.0,2519.41,0.05,292.31
ORD104977,2024-03-24,CUST1177,Pooja Singh,jaipur,Rajasthan,North,Electronics,Phones,Phones Product 20,4.0,702.62,0.05,40.86
ORD103708,2025-06-16,CUST1108,Anjali Mehta,Agra,West Bengal,East,Clothing,Footwear,Footwear Product 7,1.0,1024.77,0.3,61.49
ORD102191,2024-08-29,CUST1991,Aman Sharma,Bengaluru,,East,Furniture,Tables,Tables Product 11,2.0,422.66,0.0,120.63
ORD101224,2024-06-26,CUST1024,Rahul Singh,Delhi,Rajasthan,North,Electronics,Accessories,Accessories Product 19,3.0,890.79,0.0,95.7
ORD104695,2024-11-12,CUST2095,Anjali Mehta,Bengaluru,Karnataka,West,Electronics,Audio,Audio Product 3,1.0,3400.91,0.2,773.67
ORD103731,2024-11-24,CUST1131,Neha Verma,Kolkata,Rajasthan,North,Clothing,Kids,Kids Product 19,2.0,1710.18,0.3,46.45
ORD100681,2025-05-27,CUST1681,Neha Verma,Delhi,Rajasthan,East,Sports,Fitness,Fitness Product 15,5.0,709.74,0.15,158.19
ORD100199,2025-05-11,CUST1199,Pooja Singh,Jaipur,Uttar Pradesh,North,Sports,Outdoor,Outdoor Product 22,7.0,3520.17,0.05,299.68
ORD100677,2024-10-31,CUST1677,Rahul Singh,Bengaluru,Karnataka,North,Electronics,Accessories,Accessories Product 4,5.0,672.33,0.2,-3.72
ORD102110,2025-02-10,CUST1910,Vikas Yadav,Agra,West Bengal,South,Electronics,Audio,Audio Product 11,2.0,2085.21,0.05,255.1
ORD101044,2025-10-26,CUST2044,Rohit Agarwal,Agra,Karnataka,East,Furniture,Storage,Storage Product 14,4.0,586.75,0.15,36.45
ORD101305,2025-09-01,CUST1105,Anjali Mehta,Mumbai,Rajasthan,North,Clothing,Women,Women Product 5,2.0,1032.92,0.05,94.15
ORD102680,2024-01-12,CUST1280,Rahul Singh,Kolkata,Delhi,East,Sports,Cricket,Cricket Product 18,5.0,2238.73,0.1,393.59
ORD103754,2025-06-08,CUST1154,Vikas Yadav,Ahmedabad,Karnataka,South,Furniture,Chairs,Chairs Product 29,7.0,518.64,0.1,7.82
ORD103922,2025-06-06,CUST1322,Pooja Singh,Kolkata,Rajasthan,South,Sports,Outdoor,Outdoor Product 4,7.0,1561.45,0.1,46.45
ORD101295,2024-12-24,CUST1095,Rahul Singh,Agra,West Bengal,East,Clothing,Women,Women Product 26,2.0,1475.64,0.05,186.83
ORD102457,2025-05-07,CUST1057,Priya Gupta,Kolkata,Maharashtra,East,Sports,Cricket,Cricket Product 14,,3934.77,0.1,408.04
ORD103439,2025-06-16,CUST2039,Sneha Joshi,Ahmedabad,West Bengal,South,Clothing,Footwear,Footwear Product 28,7.0,1728.94,0.1,429.25
ORD102757,2025-02-02,CUST1357,Rahul Singh,Bengaluru,Uttar Pradesh,East,Sports,Cycling,Cycling Product 25,1.0,1737.09,0.4,-150.83
